x_RepliconName	RepliconAccession	Start	Stop	Strand	GeneID	sce_ORFid	Locus	LocusTag	ProteinProduct	Length	ProteinName	oldGeneId	replacingGeneIds	replacingSceORFs
1	AP012213.1	28792	32619	+	-		-	KLMA_10012	BAO37634.1	1275	uncharacterized protein C11D3.14c	gi_574139839_dbj_BAO37634.1_	KLMA_10012	KLMA_10012
1	AP012213.1	34715	35272	+	-		-	KLMA_10013	BAO37635.1	185	hypothetical protein KLMA_10013			
1	AP012213.1	35333	36112	-	-	YCR040W	MATALPHA1	KLMA_10014	BAO37636.1	259	mating-type protein ALPHA1			
1	AP012213.1	36379	37056	+	-	YCL067C	HMLALPHA2	KLMA_10015	BAO37637.1	225	mating-type protein ALPHA2			
1	AP012213.1	37393	40104	-	-		HMLALPHA3	KLMA_10016	BAO37638.1	903	mating-type protein ALPHA3			
1	AP012213.1	41705	41866	+	-		-	KLMA_10017	BAO37639.1	53	hypothetical protein KLMA_10017			
1	AP012213.1	42735	43811	-	-	YCL064C	CHA1	KLMA_10018	BAO37640.1	358	catabolic L-serine/threonine dehydratase	gi_574139845_dbj_BAO37640.1_	CHA1_KLMA_10018	YCL064C
1	AP012213.1	44249	44524	-	-		-	KLMA_10019	BAO37641.1	91	hypothetical protein KLMA_10019			
1	AP012213.1	44653	46137	+	-	YCL063W	VAC17	KLMA_10020	BAO37642.1	494	hypothetical protein KLMA_10020			
1	AP012213.1	46185	49025	-	-	YCL061C	MRC1	KLMA_10021	BAO37643.1	946	mediator of replication checkpoint protein 1			
1	AP012213.1	49405	50364	-	-	YCL059C	KRR1	KLMA_10022	BAO37644.1	319	ribosomal RNA assembly protein KRR1			
1	AP012213.1	50788	51132	+	-		-	KLMA_10023	BAO37645.1	114	hypothetical protein KLMA_10023			
1	AP012213.1	51662	51910	-	-	YCL057C-A	MOS1	KLMA_10024	BAO37646.1	82	UPF0327 protein AFR743W	gi_574139851_dbj_BAO37646.1_	MOS1_KLMA_10024	YCL057C-A
1	AP012213.1	52735	54873	+	-	YCL057W	PRD1	KLMA_10025	BAO37647.1	712	saccharolysin			
1	AP012213.1	54890	55483	-	-		-	KLMA_10026	BAO37648.1	197	hypothetical protein KLMA_10026			
1	AP012213.1	57380	58390	+	-		-	KLMA_10027	BAO37649.1	336	hypothetical protein KLMA_10027			
1	AP012213.1	58854	59954	-	-		-	KLMA_10028	BAO37650.1	366	hypothetical protein KLMA_10028			
1	AP012213.1	60536	61507	+	-	YCL055W	KAR4	KLMA_10029	BAO37651.1	323	karyogamy protein KAR4			
1	AP012213.1	61697	63214	-	-		-	KLMA_10030	BAO37652.1	505	CMAS			
1	AP012213.1	64045	66552	+	-	YCL054W	SPB1	KLMA_10031	BAO37653.1	835	adoMet-dependent rRNA methyltransferase SPB1			
1	AP012213.1	66632	67906	-	-	YCL052C	PBN1	KLMA_10032	BAO37654.1	424	protein PBN1	gi_574139859_dbj_BAO37654.1_	PBN1_KLMA_10032	YCL052C
1	AP012213.1	69837	71243	+	-	YCL051W	LRE1	KLMA_10033	BAO37655.1	468	hypothetical protein KLMA_10033			
1	AP012213.1	71978	72361	-	-	YDR529C	QCR7	KLMA_10034	BAO37656.1	127	cytochrome b-c1 complex subunit 7			
1	AP012213.1	72857	73840	-	-	YDR530C	APA2	KLMA_10035	BAO37657.1	327	5\',5\'\'\'-P-1,P-4-tetraphosphate phosphorylase 2	gi_574139862_dbj_BAO37657.1_	APA2_KLMA_10035	YDR530C
1	AP012213.1	75034	76128	+	-	YDR531W	CAB1	KLMA_10036	BAO37658.1	364	pantothenate kinase	gi_574139863_dbj_BAO37658.1_	CAB1_KLMA_10036	YDR531W
1	AP012213.1	76231	77286	-	-	YDR532C	KRE28	KLMA_10037	BAO37659.1	351	spindle pole body component YDR532C			
1	AP012213.1	77995	79431	-	-	YDR527W	RBA50	KLMA_10038	BAO37660.1	478	RNA polymerase II-associated protein RBA50			
1	AP012213.1	79856	80083	-	-		-	KLMA_10039	BAO37661.1	75	protein SNA2			
1	AP012213.1	82792	82995	+	-		-	KLMA_10040	BAO37662.1	67	uncharacterized protein YDR524C-B			
1	AP012213.1	83730	84068	-	-		-	KLMA_10041	BAO37663.1	112	hypothetical protein KLMA_10041			
1	AP012213.1	84664	86154	+	-	YDR523C	SPS1	KLMA_10043	BAO37665.1	496	sporulation-specific protein 1			
1	AP012213.1	86899	88161	+	-	YCL048W	SPS22	KLMA_10044	BAO37666.1	420	cell wall mannoprotein PST1			
1	AP012213.1	88550	90490	+	-	YDR520C	URC2	KLMA_10045	BAO37667.1	646	uracil catabolism protein 2			
1	AP012213.1	90632	91054	-	-	YDR519W	FPR2	KLMA_10046	BAO37668.1	140	FK506-binding protein 2			
1	AP012213.1	91345	93507	-	-	YCL045C	EMC1	KLMA_10047	BAO37669.1	720	DUF1620 super family			
1	AP012213.1	93842	95002	-	-	YCL044C	MGR1	KLMA_10048	BAO37670.1	386	mitochondrial inner membrane i-AAA protease complex subunit MGR1			
1	AP012213.1	95455	97017	-	-	YCL043C	PDI1	KLMA_10049	BAO37671.1	520	protein disulfide-isomerase			
1	AP012213.1	97460	98632	-	-	YDR517W	GRH1	KLMA_10050	BAO37672.1	390	GRASP65 homolog protein 1			
1	AP012213.1	99985	101430	+	-	YCL040W	GLK1	KLMA_10051	BAO37673.1	481	glucokinase-1	gi_574139878_dbj_BAO37673.1_	GLK1_KLMA_10051	YCL040W
1	AP012213.1	102034	104184	+	-	YCL039W	GID7	KLMA_10052	BAO37674.1	716	glucose-induced degradation protein 7			
1	AP012213.1	104177	105667	-	-	YCL038C	ATG22	KLMA_10053	BAO37675.1	496	autophagy-related protein 22	gi_574139880_dbj_BAO37675.1_	ATG22_KLMA_10053	YCL038C
1	AP012213.1	106066	107544	-	-	YCL037C	SRO9	KLMA_10054	BAO37676.1	492	RNA-binding protein SRO9			
1	AP012213.1	108032	109117	+	-		-	KLMA_10055	BAO37677.1	361	ribonuclease H-like domain			
1	AP012213.1	109443	110609	+	-		-	KLMA_10056	BAO37678.1	388	dnaQ_like_exo super family			
1	AP012213.1	111915	113117	+	-		-	KLMA_10057	BAO37679.1	400	hypothetical protein KLMA_10057			
1	AP012213.1	113326	113649	-	-	YDR513W	GRX2	KLMA_10058	BAO37680.1	107	glutaredoxin-1			
1	AP012213.1	114943	115941	+	-	YCL034W	LSB5	KLMA_10059	BAO37681.1	332	LAS seventeen-binding protein 5			
1	AP012213.1	116011	116442	-	-	YCL033C	MXR2	KLMA_10060	BAO37682.1	143	selR super family			
1	AP012213.1	116837	116977	+	-		-	KLMA_10061	BAO37683.1	46	DUF3128 super family			
1	AP012213.1	117345	118244	+	-	YCL032W	STE50	KLMA_10062	BAO37684.1	299	protein STE50			
1	AP012213.1	118415	119392	-	-	YCL031C	RRP7	KLMA_10063	BAO37685.1	325	ribosomal RNA-processing protein 7			
1	AP012213.1	119565	119951	-	-	YDR511W	ACN9	KLMA_10064	BAO37686.1	128	acetate non-utilizing protein 9			
1	AP012213.1	120238	122646	-	-	YCL030C	HIS4	KLMA_10065	BAO37687.1	802	histidine biosynthesis trifunctional protein	gi_574139892_dbj_BAO37687.1_	HIS4_KLMA_10065	YCL030C
1	AP012213.1	122991	124223	-	-	YCL029C	BIK1	KLMA_10066	BAO37688.1	410	CAP_GLY super family			
1	AP012213.1	124812	125903	-	-	YKR013W	PRY2	KLMA_10067	BAO37689.1	363	SCP super family			
1	AP012213.1	129119	130696	+	-		-	KLMA_10068	BAO37690.1	525	SH3 super family			
1	AP012213.1	131011	131601	-	-	YCL026C-B	HBN1	KLMA_10069	BAO37691.1	196	putative nitroreductase HBN1			
1	AP012213.1	132354	132944	-	-	YCL026C-B	HBN1	KLMA_10070	BAO37692.1	196	nitroreductase-like family 4			
1	AP012213.1	133706	135562	-	-	YDR508C	GNP1	KLMA_10071	BAO37693.1	618	high-affinity glutamine permease	gi_574139898_dbj_BAO37693.1_	GNP1_KLMA_10071	YDR508C
1	AP012213.1	137703	137984	+	-	YDR510W	SMT3	KLMA_10072	BAO37694.1	93	ubiquitin-like protein SMT3			
1	AP012213.1	139054	142395	+	-	YDR507C	GIN4	KLMA_10073	BAO37695.1	1113	serine/threonine-protein kinase GIN4			
1	AP012213.1	142549	143604	-	-		-	KLMA_10074	BAO37696.1	351	putative NADPH dehydrogenase C23G7.10c			
1	AP012213.1	144163	146127	+	-	YDR506C	GMC1	KLMA_10075	BAO37697.1	654	putative multicopper oxidase YDR506C			
1	AP012213.1	147309	149813	+	-		-	KLMA_10076	BAO37698.1	834	protein PSP1			
1	AP012213.1	150535	151140	-	-	YLR178C	TFS1	KLMA_10077	BAO37699.1	201	carboxypeptidase Y inhibitor			
1	AP012213.1	152189	153022	+	-	YDR503C	LPP1	KLMA_10078	BAO37700.1	277	lipid phosphate phosphatase 1	gi_574139905_dbj_BAO37700.1_	LPP1_KLMA_10078	YDR503C
1	AP012213.1	153947	155101	+	-	YDR502C	SAM2	KLMA_10079	BAO37701.1	384	S-adenosylmethionine synthetase 2	gi_574139906_dbj_BAO37701.1_	SAM2_KLMA_10079	YDR502C
1	AP012213.1	155343	156422	-	-	YLR181C	VTA1	KLMA_10080	BAO37702.1	359	vacuolar protein sorting-associated protein VTA1			
1	AP012213.1	156675	159056	+	-	YLR182W	SWI6	KLMA_10081	BAO37703.1	793	regulatory protein SWI6			
1	AP012213.1	159251	160855	-	-	YDR501W	PLM2	KLMA_10082	BAO37704.1	534	protein PLM2			
1	AP012213.1	161379	162275	+	-	YLR185W	RpL37a	KLMA_10083	BAO37705.1	95	ribosomal_L37e super family			
1	AP012213.1	162524	164533	-	-	YDR499W	LCD1	KLMA_10084	BAO37706.1	669	DNA damage checkpoint protein LCD1			
1	AP012213.1	165297	166055	+	-	YLR186W	EMG1	KLMA_10085	BAO37707.1	252	hypothetical protein KLMA_10085			
1	AP012213.1	166524	168455	+	-	YNL279W	PRM1	KLMA_10086	BAO37708.1	643	plasma membrane fusion protein PRM1			
1	AP012213.1	170664	174038	+	-	YLR187W	SKG3	KLMA_10088	BAO37710.1	1124	PH-like super family protein			
1	AP012213.1	174452	176524	+	-	YLR188W	MDL1	KLMA_10089	BAO37711.1	690	ATP-dependent permease MDL1	gi_574139916_dbj_BAO37711.1_	MDL1_KLMA_10089	YLR188W
1	AP012213.1	177111	178589	+	-	YNL277W	MET2	KLMA_10090	BAO37712.1	492	homoserine O-acetyltransferase	gi_574139917_dbj_BAO37712.1_	MET2_KLMA_10090	YNL277W
1	AP012213.1	178952	182647	-	-	YLR189C	ATG26	KLMA_10091	BAO37713.1	1231	sterol 3-beta-glucosyltransferase			
1	AP012213.1	183443	184681	-	-	YER019W	ISC1	KLMA_10092	BAO37714.1	412	inositol phosphosphingolipids phospholipase C			
1	AP012213.1	185356	186015	+	-	YER018C	SPC25	KLMA_10093	BAO37715.1	219	probable kinetochore protein SPC25			
1	AP012213.1	186443	187486	+	-	YCR044C	PER1	KLMA_10094	BAO37716.1	347	protein PER1			
1	AP012213.1	187947	189635	+	-	YNL275W	BOR1	KLMA_10095	BAO37717.1	562	boron transporter 1			
1	AP012213.1	189944	190330	+	-		-	KLMA_10096	BAO37718.1	128	uncharacterized protein YCR043C			
1	AP012213.1	190482	191531	-	-	YNL274C	GOR1	KLMA_10097	BAO37719.1	349	putative 2-hydroxyacid dehydrogenase YNL274C	gi_574139924_dbj_BAO37719.1_	GOR1_KLMA_10097	YNL274C
1	AP012213.1	192400	196581	+	-	YCR042C	TAF2	KLMA_10098	BAO37720.1	1393	transcription initiation factor TFIID subunit 2			
1	AP012213.1	196904	198604	+	-	YOR154W	SLP1	KLMA_10099	BAO37721.1	566	sad1_UNC super family			
1	AP012213.1	198837	200402	-	-		CCN1	KLMA_10100	BAO37722.1	521	G1/S-specific cyclin CLN1			
1	AP012213.1	203014	206484	+	-	YNL273W	TOF1	KLMA_10101	BAO37723.1	1156	topoisomerase 1-associated factor 1			
1	AP012213.1	206533	207930	-	-	YEL064C	AVT2	KLMA_10102	BAO37724.1	465	vacuolar amino acid transporter 2	gi_574139929_dbj_BAO37724.1_	AVT2_KLMA_10102	YEL064C
1	AP012213.1	208209	210287	-	-	YNL272C	SEC2	KLMA_10103	BAO37725.1	692	rab guanine nucleotide exchange factor SEC2			
1	AP012213.1	210531	216110	-	-	YNL271C	BNI1	KLMA_10104	BAO37726.1	1859	FH2 super family			
1	AP012213.1	217793	219535	-	-	YEL063C	CAN1	KLMA_10106	BAO37728.1	580	arginine permease	gi_574139933_dbj_BAO37728.1_	CAN1_KLMA_10106	YEL063C
1	AP012213.1	222145	223878	+	-	YNL268W	LYP1	KLMA_10107	BAO37729.1	577	lysine-specific permease	gi_574139934_dbj_BAO37729.1_	LYP1_KLMA_10107	YNL268W
1	AP012213.1	224642	227539	+	-	YNL267W	PIK1	KLMA_10108	BAO37730.1	965	phosphatidylinositol 4-kinase PIK1	gi_574139935_dbj_BAO37730.1_	PIK1_KLMA_10108	YNL267W
1	AP012213.1	227843	229027	+	-	YGR046W	TAM41	KLMA_10109	BAO37731.1	394	mitochondrial import protein MMP37			
1	AP012213.1	229137	230012	-	-	YNL265C	IST1	KLMA_10110	BAO37732.1	291	vacuolar protein sorting-associated protein IST1			
1	AP012213.1	230244	233330	-	-	YGR047C	TFC4	KLMA_10111	BAO37733.1	1028	transcription factor tau 131 kDa subunit			
1	AP012213.1	233755	234801	+	-	YGR048W	UFD1	KLMA_10112	BAO37734.1	348	ubiquitin fusion degradation protein 1			
1	AP012213.1	234841	238431	-	-		-	KLMA_10113	BAO37735.1	1196	uncharacterized membrane protein YGL140C			
1	AP012213.1	238823	239836	-	-	YNL264C	PDR17	KLMA_10114	BAO37736.1	337	phosphatidylinositol transfer protein PDR17			
1	AP012213.1	240066	240881	-	-	YGL128C	CWC23	KLMA_10115	BAO37737.1	271	pre-mRNA-splicing factor CWC23			
1	AP012213.1	241127	242017	-	-	YNL263C	YIF1	KLMA_10116	BAO37738.1	296	protein transport protein YIF1			
1	AP012213.1	242488	249045	+	-	YNL262W	POL2	KLMA_10117	BAO37739.1	2185	DNA polymerase epsilon catalytic subunit A			
1	AP012213.1	249261	250685	+	-	YNL261W	ORC5	KLMA_10118	BAO37740.1	474	origin recognition complex subunit 5			
1	AP012213.1	250925	251872	+	-		-	KLMA_10119	BAO37741.1	315	GYF super family			
1	AP012213.1	251951	252448	-	-		-	KLMA_10120	BAO37742.1	165	uncharacterized ORAOV1 family protein YNL260C			
1	AP012213.1	252732	252950	-	-	YNL259C	ATX1	KLMA_10121	BAO37743.1	72	metal homeostasis factor ATX1			
1	AP012213.1	253353	255395	-	-	YNL258C	DSL1	KLMA_10122	BAO37744.1	680	protein transport protein DSL1			
1	AP012213.1	256162	259719	-	-	YNL257C	SIP3	KLMA_10123	BAO37745.1	1185	protein SIP3			
1	AP012213.1	260026	261210	-	-	YDR058C	TGL2	KLMA_10124	BAO37746.1	394	lipase 2	gi_574139951_dbj_BAO37746.1_	TGL2_KLMA_10124	YDR058C
1	AP012213.1	261455	262876	-	-	YGR255C	COQ6	KLMA_10125	BAO37747.1	473	ubiquinone biosynthesis monooxygenase COQ6	gi_574139952_dbj_BAO37747.1_	COQ6_KLMA_10125	YGR255C
1	AP012213.1	263781	266174	+	-	YNL256W	FOL1	KLMA_10126	BAO37748.1	797	folic acid synthesis protein FOL1	gi_574139953_dbj_BAO37748.1_	FOL1_KLMA_10126	YNL256W
1	AP012213.1	266434	266907	-	-	YNL255C	GIS2	KLMA_10127	BAO37749.1	157	zinc finger protein GIS2			
1	AP012213.1	267193	268299	-	-	YNL254C	RTC4	KLMA_10128	BAO37750.1	368	hypothetical protein KLMA_10128			
1	AP012213.1	268996	270315	+	-	YNL253W	TEX1	KLMA_10129	BAO37751.1	439	protein TEX1			
1	AP012213.1	270514	271305	-	-	YNL252C	MRPL17	KLMA_10130	BAO37752.1	263	54S ribosomal protein L17			
1	AP012213.1	271611	273434	-	-	YNL251C	NRD1	KLMA_10131	BAO37753.1	607	protein NRD1			
1	AP012213.1	274084	277974	+	-	YNL250W	RAD50	KLMA_10132	BAO37754.1	1296	DNA repair protein RAD50			
1	AP012213.1	278005	279555	-	-	YNL249C	MPA43	KLMA_10133	BAO37755.1	516	protein MPA43			
1	AP012213.1	279762	281000	-	-	YNL248C	RPA49	KLMA_10134	BAO37756.1	412	DNA-directed RNA polymerase I subunit RPA49			
1	AP012213.1	281490	281972	+	-		-	KLMA_10135	BAO37757.1	160	diphthamide biosynthesis protein 4			
1	AP012213.1	282060	284015	-	-		-	KLMA_10136	BAO37758.1	651	uncharacterized protein YJR098C			
1	AP012213.1	284504	286750	+	-		-	KLMA_10137	BAO37759.1	748	cysteinyl-tRNA synthetase	gi_574139964_dbj_BAO37759.1_	KLMA_10137	KLMA_10137
1	AP012213.1	287059	287989	+	-	YNL246W	VPS75	KLMA_10138	BAO37760.2	275	vacuolar protein sorting-associated protein 75			
1	AP012213.1	288000	288551	-	-	YNL245C	CWC25	KLMA_10139	BAO37761.1	183	pre-mRNA-splicing factor CWC25			
1	AP012213.1	288923	289249	-	-	YNL244C	SUI1	KLMA_10140	BAO37762.1	108	eukaryotic translation initiation factor eIF-1			
1	AP012213.1	290215	292332	+	-	YNL243W	SLA2	KLMA_10141	BAO37763.1	705	ANTH_AP180_CALM			
1	AP012213.1	292355	292996	-	-	MATA1	MATA1	KLMA_10142	BAO37764.1	213	hypothetical protein KLMA_10142			
1	AP012213.1	293862	294626	+	-	MATA2	MATA2	KLMA_10143	BAO37765.1	254	mating-type protein A2			
1	AP012213.1	294677	298795	-	-	YJL207C	LAA1	KLMA_10144	BAO37766.1	1372	hypothetical protein KLMA_10144			
1	AP012213.1	299066	301042	-	-		-	KLMA_10145	BAO37767.1	658	putative transcriptional regulatory protein YJL206C			
1	AP012213.1	304412	306955	+	-		-	KLMA_10146	BAO37768.1	847	Zn2/Cys6 DNA-binding domain			
1	AP012213.1	307584	307979	+	-		-	KLMA_10147	BAO37769.1	131	RNase_H2_suC super family			
1	AP012213.1	308169	309170	+	-		-	KLMA_10148	BAO37770.1	333	F-box domain			
1	AP012213.1	309223	311574	-	-	YJL204C	RCY1	KLMA_10149	BAO37771.1	783	recyclin-1			
1	AP012213.1	311807	312916	+	-		-	KLMA_10150	BAO37772.1	369	pre-mRNA-splicing factor sap114			
1	AP012213.1	313766	315493	+	-	YJL201W	ECM25	KLMA_10151	BAO37773.1	575	protein ECM25			
1	AP012213.1	315809	319906	+	-	YCR038C	BUD5	KLMA_10152	BAO37774.1	1365	rasGEF super family			
1	AP012213.1	320189	322582	-	-		ACO2a	KLMA_10153	BAO37775.1	797	probable aconitate hydratase 2	gi_574139980_dbj_BAO37775.1_	ACO2a_KLMA_10153	ACO2a_KLMA_10153
1	AP012213.1	324107	326863	+	-	YCR037C	PHO87	KLMA_10155	BAO37777.1	918	inorganic phosphate transporter PHO87	gi_574139982_dbj_BAO37777.1_	PHO87_KLMA_10155	YCR037C
1	AP012213.1	327271	331002	+	-	YJL197W	UBP12	KLMA_10156	BAO37778.1	1243	ubiquitin carboxyl-terminal hydrolase 12			
1	AP012213.1	331126	332133	-	-	YCR036W	RBK1	KLMA_10157	BAO37779.1	335	probable ribokinase	gi_574139984_dbj_BAO37779.1_	RBK1_KLMA_10157	YCR036W
1	AP012213.1	332562	333854	+	-	YCR035C	RRP43	KLMA_10158	BAO37780.1	430	exosome complex component RRP43			
1	AP012213.1	334147	335208	-	-		FEN1	KLMA_10159	BAO37781.1	353	elongation of fatty acids protein 2	gi_574139986_dbj_BAO37781.1_	FEN1_KLMA_10159	FEN1_KLMA_10159
1	AP012213.1	335811	340286	-	-	YCR033W	SNT1	KLMA_10160	BAO37782.1	1491	probable DNA-binding protein SNT1			
1	AP012213.1	341781	343280	+	-	YJL194W	CDC6	KLMA_10161	BAO37783.1	499	cell division control protein 6			
1	AP012213.1	343742	344419	+	-	YDR486C	VPS60	KLMA_10162	BAO37784.1	225	vacuolar protein-sorting-associated protein 60			
1	AP012213.1	344580	345563	-	-	YOL096C	COQ3	KLMA_10163	BAO37785.1	327	hexaprenyldihydroxybenzoate methyltransferase	gi_574139990_dbj_BAO37785.1_	COQ3_KLMA_10163	YOL096C
1	AP012213.1	345827	347974	+	-	YDR485C	VPS72	KLMA_10164	BAO37786.1	715	vacuolar protein sorting-associated protein 72			
1	AP012213.1	347987	350107	-	-	YOL095C	HMI1	KLMA_10165	BAO37787.1	706	ATP-dependent DNA helicase HMI1			
1	AP012213.1	350339	352120	-	-	YDR484W	VPS52	KLMA_10166	BAO37788.1	593	vacuolar protein sorting-associated protein 52			
1	AP012213.1	352417	353382	-	-	YOL094C	RFC4	KLMA_10167	BAO37789.1	321	replication factor C subunit 4			
1	AP012213.1	353861	354739	+	-	YOL093W	TRM10	KLMA_10168	BAO37790.1	292	tRNA (guanine-N(1)-)-methyltransferase			
1	AP012213.1	355208	356128	+	-		-	KLMA_10169	BAO37791.1	306	uncharacterized membrane protein YOL092W	gi_574139996_dbj_BAO37791.1_	KLMA_10169	KLMA_10169
1	AP012213.1	356541	358424	+	-		-	KLMA_10170	BAO37792.1	627	SMC_prok_B			
1	AP012213.1	358762	361158	+	-		-	KLMA_10171	BAO37793.1	798	CRT10 super famil			
1	AP012213.1	361476	363893	+	-	YDL028C	MPS1	KLMA_10172	BAO37794.1	805	serine/threonine-protein kinase MPS1			
1	AP012213.1	364072	365247	-	-	YDL029W	ARP2	KLMA_10173	BAO37795.1	391	actin-related protein 2			
1	AP012213.1	365652	366785	-	-		-	KLMA_10174	BAO37796.1	377	hypothetical protein KLMA_10174			
1	AP012213.1	367230	368675	-	-	YOL062C	APM4	KLMA_10175	BAO37797.1	481	AP-2 complex subunit mu			
1	AP012213.1	369370	370851	+	-	YOL061W	PRS5	KLMA_10176	BAO37798.1	493	ribose-phosphate pyrophosphokinase 5	gi_574140003_dbj_BAO37798.1_	PRS5_KLMA_10176	YOL061W
1	AP012213.1	371100	372962	-	-	YDL025C	RTK1	KLMA_10177	BAO37799.1	620	probable serine/threonine-protein kinase YDL025C			
1	AP012213.1	373571	375796	-	-	YOL060C	MAM3	KLMA_10178	BAO37800.1	741	protein MAM3			
1	AP012213.1	378475	379641	+	-	YDL022W	GPD1	KLMA_10179	BAO37801.1	388	glycerol-3-phosphate dehydrogenase	gi_574140006_dbj_BAO37801.1_	GPD1_KLMA_10179	YDL022W
1	AP012213.1	381233	382495	+	-	YOL058W	ARG1	KLMA_10180	BAO37802.1	420	argininosuccinate synthase	gi_574140007_dbj_BAO37802.1_	ARG1_KLMA_10180	YOL058W
1	AP012213.1	383542	385554	+	-		-	KLMA_10181	BAO37803.1	670	probable dipeptidyl-peptidase 3			
1	AP012213.1	385961	386824	+	-		GPM2	KLMA_10182	BAO37804.1	287	phosphoglycerate mutase 3	gi_574140009_dbj_BAO37804.1_	GPM2_KLMA_10182	GPM2_KLMA_10182
1	AP012213.1	387151	389007	-	-	YDL020C	RPN4	KLMA_10183	BAO37805.1	618	zinc finger			
1	AP012213.1	390397	391626	+	-	YGL038C	och1	KLMA_10184	BAO37806.1	409	initiation-specific alpha-1,6-mannosyltransferase			
1	AP012213.1	391816	395346	-	-	YDL019C	OSH2	KLMA_10185	BAO37807.1	1176	oxysterol-binding protein homolog 1			
1	AP012213.1	396076	398172	-	-	YAR035W	YAT1	KLMA_10186	BAO37808.1	698	putative mitochondrial carnitine O-acetyltransferase	gi_574140013_dbj_BAO37808.1_	YAT1_KLMA_10186	YAR035W
1	AP012213.1	398439	400946	+	-	YAR019C	CDC15	KLMA_10187	BAO37809.1	835	cell division control protein 15			
1	AP012213.1	401150	402361	+	-	YAR018C	KIN3	KLMA_10188	BAO37810.1	403	serine/threonine-protein kinase KIN3			
1	AP012213.1	402447	403364	-	-	YAR015W	ADE1	KLMA_10189	BAO37811.1	305	phosphoribosylaminoimidazole-succinocarboxamide synthase	gi_574140016_dbj_BAO37811.1_	ADE1_KLMA_10189	YAR015W
1	AP012213.1	405041	407200	+	-	YAR014C	BUD14	KLMA_10190	BAO37812.1	719	bud site selection protein 14			
1	AP012213.1	407542	410208	+	-	YBR017C	KAP104	KLMA_10191	BAO37813.1	888	importin subunit beta-2			
1	AP012213.1	410841	412439	+	-	YIR027C	DAL1	KLMA_10192	BAO37814.1	532	allantoinase	gi_574140019_dbj_BAO37814.1_	DAL1_KLMA_10192	YIR027C
1	AP012213.1	412519	413148	-	-	YDL018C	ERP3	KLMA_10194	BAO37816.1	209	protein ERP3			
1	AP012213.1	413444	414883	+	-	YDL017W	CDC7	KLMA_10195	BAO37817.1	479	cell division control protein 7			
1	AP012213.1	415058	416092	-	-	YDL015C	TSC13	KLMA_10196	BAO37818.1	344	enoyl reductase TSC13	gi_574140023_dbj_BAO37818.1_	TSC13_KLMA_10196	YDL015C
1	AP012213.1	418867	421650	+	-	YHR211W	FLO5	KLMA_10197	BAO37819.1	927	flocculation protein FLO5			
1	AP012213.1	422800	423783	+	-	YDL014W	NOP1	KLMA_10199	BAO37821.1	327	rRNA 2\'-O-methyltransferase fibrillarin			
1	AP012213.1	424426	426264	+	-	YDL013W	SLX5	KLMA_10201	BAO37823.1	612	e3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5			
1	AP012213.1	426620	427735	+	-		-	KLMA_10202	BAO37824.1	371	uncharacterized protein C12G12.12			
1	AP012213.1	427896	428249	-	-		-	KLMA_10203	BAO37825.1	117	hypothetical protein KLMA_10203			
1	AP012213.1	430457	434227	-	-		-	KLMA_10204	BAO37826.1	1256	uncharacterized ABC transporter ATP-binding protein/permease YOL075C			
1	AP012213.1	434488	435090	+	-	YGR078C	PAC10	KLMA_10206	BAO37828.1	200	prefoldin subunit 3			
